sign,path
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/67339.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/00425.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/67341.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/00416.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/00423.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/65003.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/00419.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/00412.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/00414.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/00415.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/00422.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/00424.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/65002.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/00421.parquet
about,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/about/00426.parquet
a lot,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a lot/02126.parquet
a lot,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a lot/02131.parquet
a lot,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a lot/02123.parquet
a lot,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a lot/02129.parquet
a lot,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a lot/02130.parquet
a lot,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a lot/02125.parquet
a lot,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a lot/02124.parquet
a lot,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a lot/02128.parquet
above,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/above/00433.parquet
above,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/above/65004.parquet
above,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/above/00430.parquet
above,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/above/70167.parquet
above,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/above/00434.parquet
above,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/above/00429.parquet
above,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/above/00431.parquet
above,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/above/00435.parquet
above,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/above/00432.parquet
a,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a/00295.parquet
a,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a/01613.parquet
a,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a/01615.parquet
a,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a/01614.parquet
a,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a/01611.parquet
a,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a/01610.parquet
a,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a/01612.parquet
a,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/a/66039.parquet
accomplish,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accomplish/00663.parquet
accomplish,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accomplish/00666.parquet
accomplish,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accomplish/67343.parquet
accomplish,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accomplish/65010.parquet
accomplish,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accomplish/00664.parquet
accomplish,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accomplish/00662.parquet
accomplish,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accomplish/00668.parquet
accomplish,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accomplish/00667.parquet
accomplish,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accomplish/00665.parquet
abdomen,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/abdomen/00335.parquet
abdomen,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/abdomen/00341.parquet
abdomen,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/abdomen/00336.parquet
abdomen,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/abdomen/00340.parquet
abdomen,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/abdomen/00339.parquet
abdomen,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/abdomen/00337.parquet
abdomen,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/abdomen/00333.parquet
abdomen,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/abdomen/00338.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00625.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00626.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/65009.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00632.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00627.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00628.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00634.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00639.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00635.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00629.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00636.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00630.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00624.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00631.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00618.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00623.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/67342.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00633.parquet
accident,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accident/00638.parquet
able,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/able/00378.parquet
able,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/able/00381.parquet
able,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/able/00377.parquet
able,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/able/00383.parquet
able,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/able/00382.parquet
able,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/able/00376.parquet
able,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/able/00384.parquet
able,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/able/00374.parquet
accent,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accent/00584.parquet
accent,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accent/00581.parquet
accent,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accent/00585.parquet
accent,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accent/00587.parquet
accent,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accent/00583.parquet
